row_id;kmed_dfr;kmed_hd;kmed_dtw;kmed_lcss;kmed_edr;kmed_erp;kmed_sspd;dbscan_dfr;dbscan_hd;dbscan_dtw;dbscan_lcss;dbscan_edr;dbscan_erp;dbscan_sspd;hdbscan_dfr;hdbscan_hd;hdbscan_dtw;hdbscan_lcss;hdbscan_edr;hdbscan_erp;hdbscan_sspd;agglomorative_dfr;agglomorative_hd;agglomorative_dtw;agglomorative_lcss;agglomorative_edr;agglomorative_erp;agglomorative_sspd;spectral_dfr;spectral_hd;spectral_dtw;spectral_lcss;spectral_edr;spectral_erp;spectral_sspd;spectralKNN_dfr;spectralKNN_hd;spectralKNN_dtw;spectralKNN_lcss;spectralKNN_edr;spectralKNN_erp;spectralKNN_sspd
0;70;6;91;-1;88;70;28;0;0;0;-1;-1;0;0;12;11;15;-1;43;-1;19;56;33;22;-1;0;27;70;0;0;0;-1;25;0;65;18;62;24;-1;30;0;87
1;50;25;30;-1;54;44;1;0;0;0;-1;-1;0;0;12;11;15;-1;-1;-1;18;56;33;91;-1;19;34;36;0;0;0;-1;17;0;40;26;63;39;-1;9;38;18
2;70;70;70;-1;88;54;28;0;0;0;-1;-1;0;0;12;11;15;-1;-1;-1;-1;56;27;22;-1;0;27;61;0;0;0;-1;19;0;82;1;13;85;-1;26;29;24
3;70;6;43;-1;88;30;93;0;0;0;-1;-1;0;0;12;11;15;-1;-1;-1;14;56;33;22;-1;0;21;70;0;0;0;-1;5;0;52;18;57;11;-1;25;29;17
4;50;25;30;-1;15;44;1;0;0;0;-1;-1;0;0;12;11;15;-1;37;-1;18;56;33;91;-1;46;17;36;0;0;0;-1;63;0;44;26;63;39;-1;11;38;18
5;70;70;91;-1;17;30;28;0;0;0;-1;-1;0;0;12;11;15;-1;34;-1;19;56;33;22;-1;0;34;70;0;0;0;-1;25;0;65;65;62;24;-1;30;29;87
6;65;10;49;-1;88;60;12;-1;-1;1;-1;-1;1;1;-1;1;0;-1;-1;0;0;21;45;74;-1;23;14;31;62;37;0;-1;17;0;50;47;47;20;-1;76;18;1
7;36;73;74;-1;62;52;19;-1;0;0;-1;-1;0;-1;-1;-1;-1;-1;-1;-1;3;65;31;31;-1;45;20;59;71;53;0;-1;6;0;11;2;7;91;-1;23;12;25
8;74;73;74;-1;88;74;20;-1;0;0;-1;-1;0;2;-1;-1;-1;-1;-1;6;3;87;43;82;-1;45;8;44;90;66;0;-1;73;0;57;2;7;91;-1;1;12;25
9;60;60;60;-1;88;40;60;1;1;1;-1;-1;1;1;1;0;0;-1;-1;0;0;64;57;70;-1;0;14;43;0;0;0;-1;17;0;68;14;26;71;-1;76;18;66
10;50;25;68;-1;88;2;33;0;0;0;-1;-1;0;0;12;11;15;-1;-1;17;18;56;33;90;-1;0;34;72;0;0;0;-1;73;0;57;53;27;25;-1;50;75;60
11;70;70;91;-1;70;30;28;0;0;0;-1;0;0;0;12;11;15;-1;44;18;19;56;27;22;-1;94;27;61;0;0;0;-1;58;0;81;1;62;85;-1;82;29;24
12;83;13;31;-1;88;60;12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;17;68;87;-1;59;59;48;13;58;0;-1;17;0;80;59;40;20;-1;1;18;1
13;54;58;37;-1;88;44;58;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;54;63;-1;0;34;63;83;62;0;-1;2;0;35;39;43;91;-1;1;38;75
14;54;58;37;-1;88;74;58;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;86;94;63;-1;0;6;63;16;62;0;-1;73;0;57;39;43;91;-1;50;12;25
