row_id;kmed_dfr;kmed_hd;kmed_dtw;kmed_lcss;kmed_edr;kmed_erp;kmed_sspd;dbscan_dfr;dbscan_hd;dbscan_dtw;dbscan_lcss;dbscan_edr;dbscan_erp;dbscan_sspd;hdbscan_dfr;hdbscan_hd;hdbscan_dtw;hdbscan_lcss;hdbscan_edr;hdbscan_erp;hdbscan_sspd;agglomorative_dfr;agglomorative_hd;agglomorative_dtw;agglomorative_lcss;agglomorative_edr;agglomorative_erp;agglomorative_sspd;spectral_dfr;spectral_hd;spectral_dtw;spectral_lcss;spectral_edr;spectral_erp;spectral_sspd;spectralKNN_dfr;spectralKNN_hd;spectralKNN_dtw;spectralKNN_lcss;spectralKNN_edr;spectralKNN_erp;spectralKNN_sspd
0;17;17;17;-1;6;17;17;0;0;0;-1;-1;0;0;11;8;11;-1;6;31;5;10;13;18;-1;0;5;14;1;17;2;-1;5;4;12;1;14;11;-1;11;14;1
1;5;5;12;-1;4;2;5;1;-1;-1;-1;0;-1;1;5;9;8;-1;6;30;6;18;9;3;-1;0;7;0;18;16;8;-1;7;7;2;1;3;1;-1;1;3;13
2;12;13;5;-1;4;10;4;2;1;-1;-1;0;-1;-1;1;10;0;-1;6;1;7;13;6;0;-1;0;10;13;13;7;6;-1;12;6;8;1;3;1;-1;10;3;5
3;12;13;5;-1;4;10;4;2;1;1;-1;0;1;2;1;10;0;-1;6;0;7;13;6;0;-1;0;16;13;13;7;7;-1;12;5;8;1;3;1;-1;10;3;5
4;8;8;6;-1;4;5;13;3;2;7;-1;0;39;3;9;6;9;-1;6;7;9;12;11;12;-1;0;11;12;11;2;4;-1;2;8;9;1;4;1;-1;5;3;1
5;4;4;4;-1;4;4;11;4;3;2;-1;0;2;4;8;7;6;-1;6;34;2;8;17;8;-1;0;2;4;14;15;5;-1;15;14;7;1;10;13;-1;1;1;1
6;1;1;1;-1;4;1;1;26;10;3;-1;-1;3;5;10;4;10;-1;6;8;10;11;5;4;-1;0;13;3;15;11;4;-1;1;13;6;1;5;3;-1;10;1;11
7;15;15;15;-1;4;15;15;-1;12;0;-1;-1;4;13;11;8;11;-1;6;10;5;14;3;16;-1;0;0;8;1;8;17;-1;12;17;14;3;15;14;-1;5;1;1
8;3;18;18;-1;18;7;7;5;4;4;-1;-1;5;6;2;0;2;-1;6;36;3;9;10;10;-1;0;6;10;5;14;3;-1;2;3;0;10;6;15;-1;8;3;5
9;13;3;8;-1;4;8;18;19;5;5;-1;-1;6;7;4;11;7;-1;6;42;8;15;16;17;-1;0;1;6;9;13;12;-1;4;10;11;1;17;1;-1;5;11;4
10;4;4;4;-1;4;4;11;4;3;2;-1;-1;7;4;8;7;6;-1;6;33;2;8;17;8;-1;0;2;4;14;15;14;-1;15;14;7;1;10;13;-1;10;1;1
11;3;18;18;-1;4;7;7;-1;4;4;-1;-1;8;6;2;0;2;-1;6;21;3;9;10;10;-1;0;6;10;5;14;10;-1;7;3;0;10;6;15;-1;10;5;5
12;13;3;8;-1;6;8;18;19;5;5;-1;0;9;7;4;11;7;-1;6;49;8;15;16;17;-1;0;1;6;9;13;12;-1;2;10;11;1;17;1;-1;2;3;4
13;14;14;14;-1;4;18;14;18;6;6;-1;0;-1;8;12;11;12;-1;6;11;8;16;15;15;-1;4;0;11;18;9;7;-1;12;2;13;1;12;1;-1;10;3;17
14;8;8;6;-1;6;5;13;-1;-1;7;-1;-1;10;3;9;6;9;-1;6;14;9;12;11;12;-1;0;18;12;11;2;7;-1;1;13;9;1;4;1;-1;2;3;1
15;6;6;13;-1;4;6;8;6;7;8;-1;-1;11;9;6;2;4;-1;6;47;0;2;2;2;-1;0;3;5;2;1;6;-1;13;15;17;1;16;1;-1;10;12;2
16;12;13;5;-1;4;10;4;2;1;16;-1;0;-1;2;1;10;0;-1;6;1;7;13;6;0;-1;0;10;13;13;7;12;-1;12;6;8;1;3;1;-1;6;3;7
