row_id;kmed_dfr;kmed_hd;kmed_dtw;kmed_lcss;kmed_edr;kmed_erp;kmed_sspd;dbscan_dfr;dbscan_hd;dbscan_dtw;dbscan_lcss;dbscan_edr;dbscan_erp;dbscan_sspd;hdbscan_dfr;hdbscan_hd;hdbscan_dtw;hdbscan_lcss;hdbscan_edr;hdbscan_erp;hdbscan_sspd;agglomorative_dfr;agglomorative_hd;agglomorative_dtw;agglomorative_lcss;agglomorative_edr;agglomorative_erp;agglomorative_sspd;spectral_dfr;spectral_hd;spectral_dtw;spectral_lcss;spectral_edr;spectral_erp;spectral_sspd;spectralKNN_dfr;spectralKNN_hd;spectralKNN_dtw;spectralKNN_lcss;spectralKNN_edr;spectralKNN_erp;spectralKNN_sspd
0;24;32;24;-1;5;7;29;-1;0;-1;-1;0;-1;0;3;0;-1;-1;53;-1;0;51;29;39;-1;14;44;1;-1;-1;-1;-1;-1;-1;-1;20;10;15;-1;0;32;29
1;24;32;24;-1;5;7;29;-1;0;-1;-1;0;-1;0;3;0;-1;-1;53;-1;0;51;33;39;-1;0;44;9;-1;-1;-1;-1;-1;-1;-1;20;10;15;-1;49;32;39
2;24;57;24;-1;5;51;29;-1;0;-1;-1;0;-1;0;3;0;-1;-1;53;-1;-1;10;11;21;-1;0;6;1;-1;-1;-1;-1;-1;-1;-1;20;55;15;-1;49;32;29
3;8;24;3;-1;5;7;41;-1;0;-1;-1;0;-1;0;-1;0;-1;-1;53;-1;0;56;6;59;-1;0;55;40;-1;-1;-1;-1;-1;-1;-1;20;10;15;-1;50;28;46
4;8;32;24;-1;5;7;29;-1;0;-1;-1;0;-1;0;3;0;-1;-1;53;-1;0;56;29;59;-1;0;55;40;-1;-1;-1;-1;-1;-1;-1;20;10;15;-1;58;28;2
5;47;29;7;-1;5;20;60;0;0;-1;-1;0;-1;0;3;0;-1;-1;53;1;-1;40;2;54;-1;0;8;53;-1;-1;-1;-1;-1;-1;-1;59;0;17;-1;0;35;49
6;47;50;33;-1;5;20;49;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;40;8;24;-1;0;8;40;-1;-1;-1;-1;-1;-1;-1;59;27;17;-1;0;35;58
7;47;19;33;-1;5;20;60;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;40;2;24;-1;0;8;40;-1;-1;-1;-1;-1;-1;-1;59;27;17;-1;30;35;58
8;47;1;33;-1;5;20;34;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;40;8;24;-1;0;8;40;-1;-1;-1;-1;-1;-1;-1;59;27;17;-1;30;35;58
9;47;50;33;-1;5;20;49;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;40;8;24;-1;0;8;40;-1;-1;-1;-1;-1;-1;-1;59;27;17;-1;49;35;58
10;13;52;13;-1;5;25;58;0;0;-1;-1;0;-1;0;3;0;1;-1;53;1;0;22;2;54;-1;0;19;13;-1;-1;-1;-1;-1;-1;-1;5;36;30;-1;58;12;2
11;13;57;13;-1;5;25;25;0;0;-1;-1;0;0;0;3;0;1;-1;53;1;0;22;1;54;-1;0;19;21;-1;-1;-1;-1;-1;-1;-1;5;0;30;-1;58;12;52
12;13;12;13;-1;5;25;60;0;0;0;-1;0;0;0;3;0;1;-1;53;1;-1;22;3;54;-1;0;19;19;-1;-1;-1;-1;-1;-1;-1;5;36;30;-1;0;12;52
13;13;57;13;-1;5;25;59;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;22;1;54;-1;0;19;21;-1;-1;-1;-1;-1;-1;-1;5;0;30;-1;50;12;52
14;13;3;13;-1;5;25;25;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;22;2;54;-1;0;19;21;-1;-1;-1;-1;-1;-1;-1;5;36;30;-1;50;12;52
15;21;20;29;-1;5;54;36;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;61;29;19;-1;50;8;13;-1;-1;-1;-1;-1;-1;-1;19;49;50;-1;30;61;2
16;21;12;29;-1;5;28;60;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;61;24;11;-1;0;10;13;-1;-1;-1;-1;-1;-1;-1;19;49;50;-1;58;61;52
17;21;37;13;-1;5;36;60;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;21;2;11;-1;0;10;19;-1;-1;-1;-1;-1;-1;-1;19;6;6;-1;0;61;52
18;5;29;32;-1;5;28;60;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;21;2;11;-1;0;10;19;-1;-1;-1;-1;-1;-1;-1;19;6;6;-1;0;61;52
19;21;12;29;-1;5;4;25;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;61;29;19;-1;0;8;13;-1;-1;-1;-1;-1;-1;-1;19;49;50;-1;30;61;2
20;34;19;9;-1;5;4;58;0;0;0;-1;0;-1;0;3;0;1;-1;53;1;0;52;29;56;-1;0;8;59;-1;-1;-1;-1;-1;-1;-1;34;30;38;-1;49;36;48
21;34;42;9;-1;5;34;6;0;0;0;-1;-1;0;0;3;0;1;-1;53;1;0;52;61;56;-1;0;11;59;-1;-1;-1;-1;-1;-1;-1;34;30;38;-1;58;36;48
22;34;50;9;-1;5;55;4;0;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;52;23;56;-1;0;11;22;-1;-1;-1;-1;-1;-1;-1;34;30;38;-1;58;36;48
23;34;50;9;-1;5;46;32;0;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;52;61;56;-1;0;11;22;-1;-1;-1;-1;-1;-1;-1;34;6;38;-1;43;36;48
24;34;39;9;-1;5;34;0;0;0;0;-1;-1;0;0;3;0;1;-1;13;1;0;52;61;18;-1;0;11;22;-1;-1;-1;-1;-1;-1;-1;34;6;38;-1;51;36;48
25;33;12;25;-1;5;18;7;1;0;0;-1;0;-1;0;3;0;1;-1;53;1;0;4;2;2;-1;51;29;13;-1;-1;-1;-1;-1;-1;-1;42;0;9;-1;49;2;1
26;33;31;25;-1;5;14;7;1;0;0;-1;0;0;0;3;0;1;-1;53;1;0;50;29;2;-1;0;29;16;-1;-1;-1;-1;-1;-1;-1;42;55;9;-1;0;2;2
27;33;31;25;-1;5;14;7;1;0;0;-1;-1;0;0;3;0;1;-1;53;1;0;50;29;2;-1;0;29;59;-1;-1;-1;-1;-1;-1;-1;42;55;9;-1;30;2;2
28;33;31;25;-1;5;14;54;1;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;50;4;2;-1;0;29;59;-1;-1;-1;-1;-1;-1;-1;42;55;9;-1;49;2;2
29;33;31;25;-1;5;14;7;1;0;0;-1;0;0;0;3;0;1;-1;53;1;0;50;4;2;-1;3;29;16;-1;-1;-1;-1;-1;-1;-1;42;55;9;-1;58;2;2
30;19;7;8;-1;8;55;7;0;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;27;2;13;-1;0;11;10;-1;-1;-1;-1;-1;-1;-1;1;6;4;-1;29;3;1
31;19;12;8;-1;5;15;7;0;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;28;29;1;-1;0;11;13;-1;-1;-1;-1;-1;-1;-1;1;0;60;-1;43;3;1
32;19;31;8;-1;5;4;7;0;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;28;29;1;-1;0;11;13;-1;-1;-1;-1;-1;-1;-1;1;0;60;-1;30;28;1
33;19;12;8;-1;5;15;40;0;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;28;57;1;-1;0;11;12;-1;-1;-1;-1;-1;-1;-1;1;0;60;-1;0;28;1
34;19;12;8;-1;5;15;25;0;0;0;-1;-1;0;0;3;0;1;-1;13;1;0;28;57;1;-1;0;11;12;-1;-1;-1;-1;-1;-1;-1;1;0;60;-1;54;28;1
35;26;31;1;-1;5;34;12;0;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;27;4;47;-1;0;11;13;-1;-1;-1;-1;-1;-1;-1;31;0;10;-1;50;5;7
36;26;31;1;-1;5;34;61;0;0;0;-1;-1;0;0;3;0;1;-1;53;1;0;27;8;1;-1;0;11;13;-1;-1;-1;-1;-1;-1;-1;31;15;10;-1;50;5;7
37;43;19;39;-1;5;37;49;0;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;27;37;1;-1;0;11;44;-1;-1;-1;-1;-1;-1;-1;31;56;4;-1;29;10;9
38;26;19;1;-1;5;46;49;0;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;27;4;47;-1;0;11;13;-1;-1;-1;-1;-1;-1;-1;31;0;10;-1;29;5;7
39;26;37;1;-1;5;34;39;0;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;27;57;1;-1;0;11;22;-1;-1;-1;-1;-1;-1;-1;31;0;10;-1;30;5;7
40;55;51;56;-1;5;4;27;0;0;0;-1;-1;0;0;3;0;1;-1;53;1;0;28;25;1;-1;0;11;22;-1;-1;-1;-1;-1;-1;-1;51;6;23;-1;30;33;7
41;55;51;56;-1;5;32;49;0;0;0;-1;-1;0;0;3;0;1;-1;53;1;0;28;25;1;-1;0;11;13;-1;-1;-1;-1;-1;-1;-1;51;0;23;-1;0;33;1
42;55;14;56;-1;5;32;49;0;0;0;-1;-1;0;0;3;0;1;-1;53;1;0;28;57;1;-1;0;11;12;-1;-1;-1;-1;-1;-1;-1;51;0;23;-1;0;33;1
43;55;14;56;-1;5;32;15;0;0;0;-1;-1;0;0;3;0;1;-1;17;1;0;28;57;1;-1;0;11;12;-1;-1;-1;-1;-1;-1;-1;51;0;23;-1;0;33;1
44;55;51;56;-1;5;32;30;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;28;57;1;-1;0;11;13;-1;-1;-1;-1;-1;-1;-1;51;0;23;-1;58;33;1
45;38;51;58;-1;5;59;36;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;48;2;29;-1;0;8;12;-1;-1;-1;-1;-1;-1;-1;4;49;5;-1;30;1;1
46;38;12;43;-1;5;4;36;0;0;0;-1;-1;0;0;3;0;1;-1;53;1;0;48;2;29;-1;0;8;13;-1;-1;-1;-1;-1;-1;-1;4;49;5;-1;58;31;2
47;38;12;9;-1;5;4;49;0;0;0;-1;-1;0;0;3;0;1;-1;17;1;0;48;2;29;-1;0;8;13;-1;-1;-1;-1;-1;-1;-1;4;0;5;-1;30;31;1
48;38;51;58;-1;5;4;36;0;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;48;29;29;-1;0;8;13;-1;-1;-1;-1;-1;-1;-1;4;49;5;-1;58;31;2
49;38;31;43;-1;5;4;54;0;0;0;-1;-1;0;0;3;0;1;-1;13;1;0;55;32;29;-1;0;8;12;-1;-1;-1;-1;-1;-1;-1;4;0;5;-1;51;31;2
50;40;35;47;-1;5;47;17;0;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;0;25;27;-1;0;11;31;-1;-1;-1;-1;-1;-1;-1;48;45;58;-1;58;7;7
51;41;57;45;-1;5;10;25;0;0;-1;-1;0;-1;0;3;0;-1;-1;53;1;0;17;29;16;-1;0;26;16;-1;-1;-1;-1;-1;-1;-1;3;0;58;-1;58;25;2
52;41;29;19;-1;5;55;59;0;0;0;-1;-1;0;0;3;0;1;-1;53;1;0;17;20;27;-1;0;11;13;-1;-1;-1;-1;-1;-1;-1;23;0;58;-1;58;3;52
53;41;51;41;-1;5;39;60;0;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;0;57;27;-1;0;11;22;-1;-1;-1;-1;-1;-1;-1;23;6;58;-1;0;3;7
54;41;51;16;-1;5;15;0;0;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;0;57;27;-1;11;11;22;-1;-1;-1;-1;-1;-1;-1;3;0;58;-1;42;3;1
55;5;39;17;-1;5;55;4;0;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;52;15;6;-1;0;14;19;-1;-1;-1;-1;-1;-1;-1;15;30;31;-1;43;47;52
56;5;39;17;-1;13;37;22;0;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;52;23;4;-1;0;11;22;-1;-1;-1;-1;-1;-1;-1;15;30;31;-1;1;47;7
57;5;39;17;-1;13;37;17;0;0;0;-1;-1;0;0;3;0;1;-1;53;1;0;52;23;4;-1;0;11;22;-1;-1;-1;-1;-1;-1;-1;15;30;31;-1;4;47;7
58;5;39;17;-1;13;37;6;0;0;0;-1;-1;0;0;3;0;1;-1;53;1;0;52;61;4;-1;0;11;22;-1;-1;-1;-1;-1;-1;-1;15;30;31;-1;28;47;7
59;5;39;17;-1;13;39;22;0;0;0;-1;-1;0;0;3;0;1;-1;53;1;0;52;61;4;-1;0;11;22;-1;-1;-1;-1;-1;-1;-1;15;30;31;-1;46;47;44
60;15;40;4;-1;13;2;28;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;3;10;31;-1;0;14;32;-1;-1;-1;-1;-1;-1;-1;49;6;11;-1;4;10;25
61;29;37;15;-1;13;15;30;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;24;20;31;-1;0;11;47;-1;-1;-1;-1;-1;-1;-1;49;3;11;-1;46;3;1
62;29;15;4;-1;13;2;6;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;11;25;31;-1;0;11;22;-1;-1;-1;-1;-1;-1;-1;49;3;11;-1;46;3;20
63;29;43;55;-1;13;2;8;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;27;37;31;-1;0;11;47;-1;-1;-1;-1;-1;-1;-1;49;56;11;-1;46;3;9
64;29;29;15;-1;13;15;8;0;0;0;-1;-1;0;0;3;0;1;-1;53;1;0;24;20;31;-1;0;14;47;-1;-1;-1;-1;-1;-1;-1;49;61;11;-1;4;3;6
65;6;22;31;-1;5;26;57;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;30;8;26;-1;0;12;18;-1;-1;-1;-1;-1;-1;-1;16;12;3;-1;30;48;32
66;6;14;41;-1;5;26;57;0;0;0;-1;0;-1;0;3;0;1;-1;53;1;0;30;19;14;-1;0;12;36;-1;-1;-1;-1;-1;-1;-1;16;12;3;-1;58;48;7
67;6;14;41;-1;5;26;13;0;0;-1;-1;0;0;0;3;0;1;-1;53;1;0;30;19;14;-1;0;12;58;-1;-1;-1;-1;-1;-1;-1;16;12;3;-1;50;48;32
68;6;20;41;-1;5;17;46;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;30;19;14;-1;0;12;58;-1;-1;-1;-1;-1;-1;-1;16;12;3;-1;58;48;7
69;6;51;41;-1;5;35;40;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;30;19;14;-1;0;12;58;-1;-1;-1;-1;-1;-1;-1;16;12;3;-1;58;48;57
70;31;15;4;-1;13;48;39;0;0;0;-1;-1;0;0;3;0;1;-1;28;1;0;0;25;31;-1;0;11;19;-1;-1;-1;-1;-1;-1;-1;7;6;36;-1;1;9;19
71;31;50;4;-1;5;48;30;0;0;0;-1;-1;0;0;3;0;1;-1;25;1;0;0;23;31;-1;25;11;47;-1;-1;-1;-1;-1;-1;-1;7;0;36;-1;43;9;7
72;31;11;4;-1;5;48;30;-1;0;0;-1;-1;0;0;3;0;1;-1;25;1;0;0;23;31;-1;0;11;47;-1;-1;-1;-1;-1;-1;-1;59;0;36;-1;30;9;52
73;31;51;4;-1;5;48;7;0;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;0;29;31;-1;0;11;21;-1;-1;-1;-1;-1;-1;-1;7;0;53;-1;50;9;1
74;31;29;4;-1;5;48;22;0;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;0;57;31;-1;0;11;12;-1;-1;-1;-1;-1;-1;-1;7;0;53;-1;50;9;1
75;20;29;19;-1;5;15;12;0;0;0;-1;-1;0;0;3;0;1;-1;53;1;0;34;2;1;-1;0;11;21;-1;-1;-1;-1;-1;-1;-1;36;26;14;-1;0;58;54
76;20;19;19;-1;5;15;12;0;0;0;-1;-1;0;0;3;0;1;-1;53;1;0;34;2;1;-1;16;11;21;-1;-1;-1;-1;-1;-1;-1;36;26;14;-1;30;58;54
77;20;48;19;-1;5;4;30;0;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;34;2;1;-1;0;11;53;-1;-1;-1;-1;-1;-1;-1;36;26;14;-1;42;58;9
78;20;37;19;-1;5;15;40;0;0;0;-1;-1;0;0;3;0;1;-1;17;1;0;34;2;1;-1;0;11;21;-1;-1;-1;-1;-1;-1;-1;36;56;14;-1;58;58;9
79;20;14;19;-1;5;4;26;-1;0;0;-1;-1;0;0;3;0;1;-1;25;1;0;34;32;1;-1;0;11;16;-1;-1;-1;-1;-1;-1;-1;36;0;14;-1;58;58;54
80;60;20;58;-1;5;59;36;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;48;24;29;-1;0;8;18;-1;-1;-1;-1;-1;-1;-1;4;49;2;-1;58;31;3
81;60;37;48;-1;5;36;27;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;36;25;4;-1;0;14;31;-1;-1;-1;-1;-1;-1;-1;50;6;2;-1;50;11;3
82;38;57;58;-1;5;59;61;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;48;57;29;-1;0;8;21;-1;-1;-1;-1;-1;-1;-1;4;0;5;-1;50;1;1
83;38;12;58;-1;5;59;36;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;48;24;29;-1;0;8;58;-1;-1;-1;-1;-1;-1;-1;4;49;5;-1;0;31;1
84;38;12;43;-1;5;4;36;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;48;2;29;-1;0;8;13;-1;-1;-1;-1;-1;-1;-1;4;49;5;-1;0;31;2
85;39;11;39;-1;13;37;0;0;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;12;61;13;-1;0;11;22;-1;-1;-1;-1;-1;-1;-1;14;30;18;-1;1;10;7
86;39;39;39;-1;13;37;6;0;0;0;-1;-1;0;0;3;0;1;-1;53;1;0;12;61;13;-1;0;11;22;-1;-1;-1;-1;-1;-1;-1;14;30;18;-1;46;10;7
87;39;39;39;-1;13;37;0;0;0;0;-1;-1;0;0;3;0;1;-1;53;1;0;12;61;13;-1;0;11;22;-1;-1;-1;-1;-1;-1;-1;14;30;18;-1;46;10;7
88;39;39;39;-1;13;37;0;0;0;0;-1;-1;0;0;3;0;1;-1;53;1;0;12;61;13;-1;0;11;22;-1;-1;-1;-1;-1;-1;-1;14;30;18;-1;46;10;7
89;39;39;39;-1;13;37;0;0;0;0;-1;-1;0;0;3;0;1;-1;53;1;0;12;61;13;-1;0;11;22;-1;-1;-1;-1;-1;-1;-1;14;30;18;-1;4;10;7
90;30;2;21;-1;13;30;42;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;23;23;9;-1;0;11;54;-1;-1;-1;-1;-1;-1;-1;9;23;7;-1;46;8;28
91;30;54;21;-1;13;43;50;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;23;8;2;-1;0;11;19;-1;-1;-1;-1;-1;-1;-1;9;28;7;-1;46;8;49
92;2;2;21;-1;13;30;26;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;23;23;9;-1;0;11;2;-1;-1;-1;-1;-1;-1;-1;9;23;7;-1;46;8;28
93;30;54;21;-1;13;30;26;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;23;8;9;-1;0;11;48;-1;-1;-1;-1;-1;-1;-1;9;28;7;-1;4;8;54
94;30;2;21;-1;13;30;42;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;23;23;9;-1;0;11;54;-1;-1;-1;-1;-1;-1;-1;9;23;7;-1;4;8;28
95;2;50;23;-1;13;5;40;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;23;24;9;-1;0;11;58;-1;-1;-1;-1;-1;-1;-1;9;12;7;-1;4;6;35
96;2;50;21;-1;13;5;42;0;0;0;-1;-1;0;0;3;0;1;-1;53;1;0;23;24;9;-1;30;11;19;-1;-1;-1;-1;-1;-1;-1;9;6;7;-1;46;6;28
97;2;50;21;-1;13;43;50;0;0;0;-1;-1;0;0;3;0;1;-1;53;1;0;23;23;9;-1;20;11;32;-1;-1;-1;-1;-1;-1;-1;9;6;7;-1;4;6;49
98;33;58;21;-1;13;30;34;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;8;32;9;-1;0;11;60;-1;-1;-1;-1;-1;-1;-1;9;12;7;-1;4;8;4
99;2;58;11;-1;13;30;34;-1;0;0;-1;0;0;0;3;0;1;-1;53;1;0;8;32;9;-1;0;11;38;-1;-1;-1;-1;-1;-1;-1;9;23;7;-1;46;8;37
100;16;35;47;-1;5;38;48;0;0;0;-1;0;-1;0;3;0;1;-1;53;1;0;17;27;11;-1;20;4;2;-1;-1;-1;-1;-1;-1;-1;61;45;18;-1;0;46;13
101;39;11;26;-1;5;55;4;0;0;0;-1;-1;0;0;3;0;1;-1;25;1;0;12;3;13;-1;0;14;13;-1;-1;-1;-1;-1;-1;-1;18;0;47;-1;58;10;52
102;18;47;12;-1;5;61;32;0;0;0;-1;-1;0;0;3;0;1;-1;53;1;0;12;61;8;-1;4;14;53;-1;-1;-1;-1;-1;-1;-1;18;0;47;-1;49;10;21
103;42;29;26;-1;5;55;4;0;0;0;-1;-1;0;0;3;0;1;-1;25;1;0;12;3;13;-1;0;14;13;-1;-1;-1;-1;-1;-1;-1;18;0;47;-1;30;10;52
104;14;29;26;-1;5;39;6;0;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;12;3;13;-1;0;11;53;-1;-1;-1;-1;-1;-1;-1;18;0;47;-1;29;10;7
105;54;2;54;-1;13;46;50;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;52;23;13;-1;34;11;53;-1;-1;-1;-1;-1;-1;-1;43;23;57;-1;46;4;49
106;35;50;8;-1;13;39;50;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;28;25;13;-1;0;11;53;-1;-1;-1;-1;-1;-1;-1;23;6;57;-1;31;4;49
107;35;50;54;-1;13;46;50;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;16;23;13;-1;0;11;53;-1;-1;-1;-1;-1;-1;-1;43;23;57;-1;46;4;49
108;54;2;54;-1;13;22;42;0;0;0;-1;0;0;0;3;0;1;-1;53;1;0;16;8;13;-1;0;11;38;-1;-1;-1;-1;-1;-1;-1;43;12;57;-1;46;4;28
109;54;40;55;-1;13;55;9;-1;-1;0;-1;-1;0;0;3;-1;1;-1;53;1;-1;44;10;34;-1;5;11;46;-1;-1;-1;-1;-1;-1;-1;33;11;8;-1;46;10;52
110;51;40;52;-1;5;40;28;-1;0;0;-1;-1;0;0;3;0;1;-1;13;1;0;0;10;6;-1;0;14;14;-1;-1;-1;-1;-1;-1;-1;6;11;13;-1;51;53;25
111;51;28;10;-1;5;37;28;0;0;0;-1;-1;0;0;3;0;1;-1;24;1;0;13;20;5;-1;0;14;47;-1;-1;-1;-1;-1;-1;-1;6;3;13;-1;0;53;30
112;51;11;10;-1;5;37;28;0;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;13;20;5;-1;0;14;47;-1;-1;-1;-1;-1;-1;-1;6;3;13;-1;50;53;30
113;50;42;10;-1;5;37;0;0;0;0;-1;-1;0;0;3;0;1;-1;-1;1;0;13;29;13;-1;0;11;47;-1;-1;-1;-1;-1;-1;-1;6;3;13;-1;49;10;18
114;50;31;10;-1;5;50;32;0;0;0;-1;-1;0;0;3;0;1;-1;17;1;0;13;29;13;-1;0;11;47;-1;-1;-1;-1;-1;-1;-1;6;30;13;-1;49;10;7
115;50;15;52;-1;13;37;6;0;0;0;-1;-1;0;0;3;0;1;-1;53;1;0;12;12;13;-1;0;11;32;-1;-1;-1;-1;-1;-1;-1;23;3;18;-1;46;10;7
