;setup;adj_rand;nmi;ami;homogeneity;completeness;v-1;v-2;v-0.5;fmi
0;ASL_kmed_discrete_frechet;0.052855;0.425408;0.205876;0.407437;0.445037;0.425408;0.431756;0.419244;0.070412
1;ASL_kmed_hausdorff;0.068268;0.437245;0.207574;0.425581;0.449566;0.437245;0.441276;0.433287;0.082277
2;ASL_kmed_dtw;0.069289;0.426568;0.191606;0.416210;0.437456;0.426568;0.430137;0.423059;0.082299
3;ASL_kmed_edr;0.004265;0.289125;0.015266;0.260763;0.324411;0.289125;0.300002;0.279010;0.039200
4;ASL_kmed_erp;0.049019;0.407361;0.157918;0.399932;0.415070;0.407361;0.409898;0.404854;0.060736
5;ASL_kmed_sspd;0.057589;0.420334;0.176888;0.411907;0.429112;0.420334;0.423220;0.417487;0.069976
6;ASL_dbscan_discrete_frechet;0.007704;0.162099;0.142199;0.092786;0.640776;0.162099;0.215847;0.129782;0.109365
7;ASL_dbscan_hausdorff;0.000458;0.044388;0.023525;0.023449;0.414622;0.044388;0.063198;0.034206;0.097457
8;ASL_dbscan_dtw;0.000061;0.020643;0.004522;0.010770;0.248169;0.020643;0.029728;0.015811;0.096844
9;ASL_dbscan_edr;0.005104;0.078649;0.048118;0.048603;0.205997;0.078649;0.099063;0.065211;0.079235
10;ASL_dbscan_erp;0.000116;0.025476;0.008903;0.013474;0.233390;0.025476;0.036237;0.019643;0.095236
11;ASL_dbscan_sspd;0.001608;0.077909;0.048093;0.047173;0.223599;0.077909;0.099525;0.064007;0.076972
12;ASL_hdbscan_discrete_frechet;0.021028;0.300409;0.249702;0.198379;0.618527;0.300409;0.362567;0.256444;0.116718
13;ASL_hdbscan_hausdorff;0.021167;0.301642;0.251780;0.204886;0.571559;0.301642;0.357997;0.260617;0.108733
14;ASL_hdbscan_dtw;0.020408;0.291926;0.239429;0.196000;0.571759;0.291926;0.348836;0.250981;0.110350
15;ASL_hdbscan_edr;0.000561;0.235941;0.010256;0.172255;0.374343;0.235941;0.269105;0.210054;0.068920
16;ASL_hdbscan_erp;0.011274;0.203287;0.137514;0.135607;0.405830;0.203287;0.243855;0.174291;0.089176
17;ASL_hdbscan_sspd;0.019251;0.269177;0.200845;0.184447;0.497902;0.269177;0.317848;0.233433;0.104510
18;ASL_agglomorative_discrete_frechet;0.023756;0.437741;0.275774;0.364666;0.547443;0.437741;0.469073;0.410332;0.086159
19;ASL_agglomorative_hausdorff;0.026148;0.438750;0.275892;0.371149;0.536461;0.438750;0.467110;0.413637;0.083613
